Country,Year,HappinessScore,GDP_perCapita,SocialSupport,HealthyLifeExpectancy,Freedom,Generosity,Perceptions_of_Corruption
Finland,2015,7.126,0.982,1.012,58.8,0.356,0.243,0.46
Finland,2016,4.64,1.15,0.787,56.0,0.845,0.234,0.233
Finland,2017,7.162,0.985,1.039,60.7,0.658,0.5,0.385
Finland,2018,5.893,1.793,0.754,50.8,0.423,0.17,0.255
Finland,2019,6.653,1.893,1.059,62.5,0.33,0.017,0.276
Finland,2020,6.034,1.807,0.745,50.6,0.569,0.119,0.025
Finland,2021,7.036,0.934,1.147,57.0,0.404,0.19,0.401
Finland,2022,5.872,1.701,0.713,69.3,0.442,0.339,0.283
Finland,2023,7.752,1.265,0.66,50.5,0.796,0.262,0.388
Denmark,2015,5.32,1.214,0.627,74.0,0.701,0.467,0.133
Denmark,2016,6.64,1.614,0.886,71.2,0.868,0.442,0.37
Denmark,2017,5.471,1.138,1.467,50.3,0.73,0.353,0.311
Denmark,2018,7.965,1.174,0.906,52.0,0.566,0.131,0.172
Denmark,2019,7.421,1.923,0.767,59.3,0.857,0.031,0.046
Denmark,2020,5.07,1.514,0.735,74.2,0.568,0.251,0.123
Denmark,2021,6.148,1.594,1.276,68.8,0.647,0.452,0.409
Denmark,2022,7.15,0.867,0.606,55.3,0.698,0.206,0.201
Denmark,2023,7.596,1.875,1.418,57.8,0.715,0.136,0.095
Switzerland,2015,5.146,1.211,0.987,70.8,0.372,0.367,0.266
Switzerland,2016,5.508,1.391,0.87,64.9,0.56,0.082,0.058
Switzerland,2017,6.413,1.883,0.91,68.3,0.695,0.466,0.41
Switzerland,2018,6.483,1.588,1.409,60.0,0.496,0.005,0.413
Switzerland,2019,7.303,0.925,1.119,61.6,0.371,0.49,0.107
Switzerland,2020,4.735,1.514,1.265,50.8,0.695,0.266,0.052
Switzerland,2021,5.104,1.482,0.867,73.5,0.791,0.492,0.13
Switzerland,2022,7.894,1.317,0.913,51.3,0.332,0.346,0.229
Switzerland,2023,5.293,1.537,0.828,64.4,0.516,0.412,0.41
Iceland,2015,6.171,1.221,0.926,70.1,0.497,0.105,0.042
Iceland,2016,6.133,1.379,1.357,55.5,0.529,0.404,0.412
Iceland,2017,5.846,1.351,0.873,73.3,0.371,0.467,0.342
Iceland,2018,6.361,0.839,1.028,60.2,0.397,0.328,0.486
Iceland,2019,6.468,1.658,0.662,60.4,0.37,0.306,0.469
Iceland,2020,6.816,0.892,0.919,63.8,0.542,0.417,0.407
